height,timestamp,diff,change,bits,average_time(seconds),average_hashrate,diff (6-period later),diff (12-period later),diff (24-period later)
157248,1323718955,1155038,5.9,0x1a0e8668,567,8.27E+12,1496978,1591074,3304356
159264,1324925005,1159929,0.42,0x1a0e76ba,598,8.29E+12,1498294,1583177,3368767
161280,1326047176,1250757,7.83,0x1a0d69d7,557,8.95E+12,1626553,1726566,3438908
163296,1327204504,1307728,4.55,0x1a0cd43f,574,9.36E+12,1577913,1751454,3370181
165312,1328351561,1379647,5.5,0x1a0c290b,569,9.87E+12,1508589,1866391,2979636
167328,1329564255,1376302,-0.24,0x1a0c309c,602,9.85E+12,1733207,2036671,3249549
169344,1330676736,1496978,8.77,0x1a0b350c,552,1.07E+13,1591074,2190865,2968775
171360,1331885394,1498294,0.09,0x1a0b3287,600,1.07E+13,1583177,2440642,3275464
173376,1332999707,1626553,8.56,0x1a0a507e,553,1.16E+13,1726566,2694047,3651011
175392,1334246689,1577913,-2.99,0x1a0aa1e3,619,1.13E+13,1751454,2864140,4367876
177408,1335512370,1508589,-4.39,0x1a0b1ef7,628,1.08E+13,1866391,3054627,4847647
179424,1336565313,1733207,14.89,0x1a09ae02,522,1.24E+13,2036671,3072321,6695826
181440,1337883029,1591074,-8.2,0x1a0a8b5f,654,1.14E+13,2190865,3304356,7672999
183456,1339099525,1583177,-0.5,0x1a0a98d6,603,1.13E+13,2440642,3368767,8974296
185472,1340208964,1726566,9.06,0x1a09b78a,550,1.24E+13,2694047,3438908,10076292
187488,1341401841,1751454,1.44,0x1a099431,592,1.25E+13,2864140,3370181,11187257
189504,1342537166,1866391,6.56,0x1a08fd2e,563,1.34E+13,3054627,2979636,12153411
191520,1343647577,2036671,9.12,0x1a083cc9,551,1.46E+13,3072321,3249549,15605632
193536,1344772855,2190865,7.57,0x1a07a85e,558,1.57E+13,3304356,2968775,19339258
195552,1345859199,2440642,11.4,0x1a06dfbe,539,1.75E+13,3368767,3275464,21335329
197568,1346955037,2694047,10.38,0x1a063a38,544,1.93E+13,3438908,3651011,26162875
199584,1348092851,2864140,6.31,0x1a05db8b,564,2.05E+13,3370181,4367876,31256960
201600,1349226660,3054627,6.65,0x1a057e08,562,2.19E+13,2979636,4847647,37392766
203616,1350428168,3072321,0.58,0x1a0575ef,596,2.20E+13,3249549,6695826,50810339
205632,1351556195,3304356,7.55,0x1a0513c5,560,2.36E+13,2968775,7672999,65750060
207648,1352743186,3368767,1.95,0x1a04faeb,589,2.41E+13,3275464,8974296,86933017
209664,1353928229,3438908,2.08,0x1a04e0ea,588,2.46E+13,3651011,10076292,112628548
211680,1355162613,3370181,-2,0x1a04fa62,612,2.41E+13,4367876,11187257,148819199
213696,1356530740,2979636,-11.59,0x1a05a16b,679,2.13E+13,4847647,12153411,189281249
215712,1357641634,3249549,9.06,0x1a0529b1,551,2.32E+13,6695826,15605632,267731249
217728,1358966487,2968775,-8.64,0x1a05a6b1,657,2.12E+13,7672999,19339258,390928787
219744,1360063146,3275464,10.33,0x1a051f3c,544,2.34E+13,8974296,21335329,510929738
221760,1361148470,3651011,11.47,0x1a04985c,538,2.61E+13,10076292,26162875,609482679
223776,1362159764,4367876,19.63,0x1a03d74b,502,3.13E+13,11187257,31256960,707408283
225792,1363249946,4847647,10.98,0x1a0375fa,541,3.47E+13,12153411,37392766,908350862
227808,1364126425,6695826,38.13,0x1a02816e,435,4.79E+13,15605632,50810339,1180923195
