height,timestamp,diff,change,bits,average_time(seconds),average_hashrate,diff (6-period later),diff (12-period later),diff (24-period later)
64512,1278381464,23,21.05,0x1c0ae493,496,164676139,623,3091,76192
66528,1279008237,45,95.65,0x1c05a3f4,311,317737113,712,4536,68977
68544,1279297779,181,302.22,0x1c0168fd,144,1345709545,917,6866,82345
70560,1280198558,244,34.81,0x1c010c5a,447,1739845607,1318,8078,92347
72576,1281037595,352,44.26,0x1c00ba18,416,2518019578,1378,12251,109670
74592,1281870671,511,45.17,0x1c00800e,413,3658545237,2149,14484,157416
76608,1282864403,623,21.92,0x1b692098,493,4452480376,3091,16307,244112
78624,1283922289,712,14.29,0x1b5bede6,525,5099170879,4536,18437,434877
80640,1284861847,917,28.79,0x1b4766ed,466,6561555217,6866,22012,567269
82656,1285703908,1318,43.73,0x1b31b2a3,418,9429228738,8078,25997,876954
84672,1286861705,1378,4.55,0x1b2f8e9d,574,9856741779,12251,36459,1379192
86688,1287637995,2149,55.95,0x1b1e7eca,385,15370061841,14484,55589,1563027
88704,1288479527,3091,43.83,0x1b153263,417,22111396350,16307,76192,1690895
90720,1289305768,4536,46.75,0x1b0e7256,410,32392364608,18437,68977,1888786
92736,1290105874,6866,51.37,0x1b098b2a,397,49088064401,22012,82345,1805700
94752,1291135075,8078,17.65,0x1b081cd2,511,57763564975,25997,92347,1777774
96768,1291933202,12251,51.66,0x1b055953,396,87635937096,36459,109670,1755425
98784,1292956443,14484,18.23,0x1b04864c,508,1.04E+11,55589,157416,1689334
100800,1294031411,16307,12.59,0x1b0404cb,533,1.17E+11,76192,244112,1468195
102816,1295101567,18437,13.06,0x1b038dee,531,1.32E+11,68977,434877,1203461
104832,1296116171,22012,19.39,0x1b02fa29,503,1.57E+11,82345,567269,1192497
106848,1297140800,25997,18.1,0x1b028552,508,1.86E+11,92347,876954,1090715
